Compound,m/z,z,p value,specificity,areas
Sel Score: 0.75 RTime: 1306.931,449.0084,4.0,0.09570152617945307,12ca5,"[4225625.00036557, 9121874.246686624, 10960974.160888577, 4814404.692181571, 900879.283236581, 2299097.1812173766]"
Sel Score: 0.75 RTime: 1322.634,443.2559,2.0,0.04894837587278399,12ca5,"[7649100.063108194, 14480345.788722448, 13480592.347755615, 4309409.39293878, 2224470.5118232914, 5224691.132424437]"
Sel Score: 0.75 RTime: 1441.737,443.2567,2.0,0.2634831264407264,Unclear,"[7601264.588701721, 18316383.99886181, 3882779.4790051547, 3359459.1206443133, 2257715.536544113, 4264002.435597318]"
Sel Score: 0.75 RTime: 1416.916,430.75,2.0,0.07145614612539704,12ca5,"[14527502.996799873, 17157669.13486444, 7607439.690339726, 7417532.1026698705, 2094795.2627575165, 3538609.722297062]"
Sel Score: 0.75 RTime: 4710.491,589.9589,3.0,0.2413864760961168,Unclear,"[5156416.409288173, 16156835.591499211, 5350369.766976951, 4334429.942935175, 2648056.5936795087, 1876113.5738656076]"
Sel Score: 0.75 RTime: 1487.514,410.9946,4.0,0.2680456137245495,Unclear,"[10960011.623012578, 4753992.447109224, 2171928.7241060054, 2041353.221463058, 1985506.0869577485, 1973559.0201956427]"
Sel Score: 0.75 RTime: 1334.833,448.7439,2.0,0.020917403076703266,12ca5,"[10500979.802057631, 15297498.635747502, 12915688.632233635, 4021665.4611974168, 1464419.0913135959, 7556740.39907607]"
Sel Score: 0.75 RTime: 1421.76,437.7475,4.0,0.009586174801103568,12ca5,"[14884601.781087395, 15742490.0743266, 11207397.238554697, 3430856.955578727, 7532188.235093894, 3193742.713358042]"
Sel Score: 0.75 RTime: 1304.877,438.5096,4.0,0.04344135488238312,12ca5,"[7786718.882123799, 7045487.388635254, 11636925.678909644, 3558931.681630969, 3346302.044959201, 2054559.8579742236]"
Sel Score: 0.75 RTime: 1405.277,433.7564,4.0,0.0005414688608695574,12ca5,"[12444283.432879038, 11403302.194393937, 10747756.59506058, 5009051.166404457, 3227105.4432139993, 3504078.790172125]"
Sel Score: 0.75 RTime: 1432.372,451.499,2.0,0.0915781038544313,12ca5,"[13664601.863048134, 8780063.12594849, 6401882.626766912, 2951370.7680692077, 4193432.8832832538, 2709944.9684326425]"
Sel Score: 0.74 RTime: 1336.873,445.7592,4.0,0.03340120416468917,12ca5,"[8438523.258072533, 8374180.314423177, 12589574.25319884, 3991963.919144148, 2456572.75936136, 3692259.88948922]"
Sel Score: 0.74 RTime: 6464.493,1000.6792,2.0,0.12026024308689234,12ca5,"[6919321.9873717595, 7439146.964262264, 2629255.103277992, 906126.5853256226, 3746747.6207709596, 1206910.757295283]"
Sel Score: 0.74 RTime: 1516.876,449.5124,2.0,0.30698542414504865,Unclear,"[8843648.224425131, 3586953.512702176, 1365030.859514791, 2037938.538130858, 1282539.235344691, 1443217.2070159265]"
Sel Score: 0.74 RTime: 1414.932,428.7528,2.0,0.1648398310094962,Unclear,"[7363305.262921824, 12995067.992921544, 4246058.174479571, 6064684.760598297, 1574003.192383152, 896762.271023121]"
Sel Score: 0.74 RTime: 1318.107,442.253,2.0,0.014241463751363979,12ca5,"[12249400.969842121, 13828514.159684112, 12390268.256022513, 4040465.3522639214, 2416779.337420168, 6896591.868769958]"
Sel Score: 0.74 RTime: 1324.835,446.4878,2.0,0.07049984930846641,12ca5,"[6782580.857803698, 9026714.309515916, 13491959.637370402, 2717259.7346082046, 2672779.483627551, 4784380.387168781]"
Sel Score: 0.74 RTime: 1427.962,438.4979,4.0,0.034015525133144216,12ca5,"[11392937.969197987, 10681799.428047271, 16913570.95523667, 6376806.912987598, 3516717.905440745, 3838301.8214378846]"
Sel Score: 0.74 RTime: 1367.167,437.2525,4.0,0.005985705224625136,12ca5,"[14228919.784878576, 13266606.76779877, 15805255.93826777, 6962390.0548111275, 2730470.835152812, 5634100.674293014]"
Sel Score: 0.74 RTime: 7464.604,553.0548,2.0,0.0012202930865754828,12ca5,"[2389185.5793358744, 2418568.356015507, 2006965.9246552237, 761979.7676896758, 1017879.6520761938, 645737.2424348834]"
Sel Score: 0.74 RTime: 7448.883,553.0537,4.0,0.001220294699070077,12ca5,"[2389180.770275818, 2418569.6504504974, 2006964.9445127756, 761982.1699254604, 1017880.1477684627, 645736.2106850785]"
Sel Score: 0.74 RTime: 1546.079,434.254,2.0,0.18138179824890108,Unclear,"[11576382.499034023, 5070504.976560868, 4298503.569034615, 4335651.999710687, 1312857.3611701992, 1817650.3635120788]"
Sel Score: 0.74 RTime: 1388.718,416.243,4.0,0.04811272419637972,12ca5,"[13154200.28960599, 11931363.526383085, 9273081.30838961, 8173218.7278414555, 2058046.525727426, 2062257.7200619308]"
